county,state,policy_type,start_date,stop_date
Iron,MO,Shelter in Place,4/6/20,5/1/20
Clark,MO,Shelter in Place,4/6/20,4/30/20
Swisher,TX,Shelter in Place,4/6/20,4/30/20
Jones,TX,Shelter in Place,4/6/20,
Blanco,TX,Shelter in Place,4/6/20,
La Salle,TX,Shelter in Place,4/6/20,4/30/20
Briscoe,TX,Shelter in Place,4/7/20,
Coryell,TX,Shelter in Place,4/8/20,5/4/20
Walker,TX,Shelter in Place,4/9/20,
El Dorado,CA,Shelter in Place,11/17/20,4/30/20
Marion,IN,Phase 2,5/11/20,6/1/20
Jackson,MO,Entertainment,5/11/20,5/31/20
Somerset,ME,Non-Essential Businesses,5/11/20,
Jackson,MO,Outdoor and Recreation,5/11/20,5/31/20
Jackson,MO,Food and Drink,5/11/20,5/31/20
Palm Beach,FL,Personal Care,5/11/20,
Jackson,MO,Non-Essential Businesses,5/11/20,5/31/20
Sagadahoc,ME,Non-Essential Businesses,5/11/20,
Kennebec,ME,Non-Essential Businesses,5/11/20,
Waldo,ME,Non-Essential Businesses,5/11/20,
Washington,ME,Non-Essential Businesses,5/11/20,
Piscataquis,ME,Non-Essential Businesses,5/11/20,
Marion,IN,Phase 3,6/1/20,5/13/20
Cass,IN,Phase 3,6/1/20,5/13/20
Lane,OR,New Phase,5/15/20,
Lane,OR,Personal Care,5/15/20,
Alameda,CA,Manufacturing,5/18/20,
Kennebec,ME,Food and Drink,5/18/20,
Cass,IN,Phase 2,5/18/20,6/1/20
Alameda,CA,Phase 1,5/18/20,
Waldo,ME,Outdoor and Recreation,5/18/20,
Broward,FL,Non-Essential Businesses,5/18/20,
Sagadahoc,ME,Food and Drink,5/18/20,
Piscataquis,ME,Food and Drink,5/18/20,
Alameda,CA,Childcare (K-12),5/18/20,
Broward,FL,Food and Drink,5/18/20,
Alameda,CA,Personal Care,5/18/20,
Kennebec,ME,Outdoor and Recreation,5/18/20,
Somerset,ME,Outdoor and Recreation,5/18/20,
Piscataquis,ME,Outdoor and Recreation,5/18/20,
Waldo,ME,Food and Drink,5/18/20,
Washington,ME,Outdoor and Recreation,5/18/20,
Alameda,CA,Houses of Worship,5/18/20,
Washington,ME,Food and Drink,5/18/20,
Sagadahoc,ME,Outdoor and Recreation,5/18/20,
Somerset,ME,Food and Drink,5/18/20,
Alameda,CA,New Phase,5/18/20,
Bexar,TX,Manufacturing,5/19/20,6/4/20
Bexar,TX,Childcare (K-12),5/19/20,6/4/20
Bexar,TX,Personal Care,5/19/20,6/4/20
Clackamas,OR,Personal Care,5/23/20,
Clackamas,OR,New Phase,5/23/20,
Dane,WI,Houses of Worship,5/26/20,
Dane,WI,Childcare (K-12),5/26/20,
Suffolk,MA,Non-Essential Businesses,6/1/20,
Cumberland,ME,Food and Drink,6/1/20,
Androscoggin,ME,Food and Drink,6/1/20,
Cumberland,ME,Non-Essential Businesses,6/1/20,
Androscoggin,ME,Non-Essential Businesses,6/1/20,
Cook,IL,Phase 3,6/3/20,
Benton,OR,New Phase,6/5/20,
Douglas,OR,New Phase,6/5/20,
Benton,OR,Houses of Worship,6/5/20,
Grant,OR,New Phase,6/5/20,
Baker,OR,Food and Drink,6/6/20,
Baker,OR,Outdoor and Recreation,6/6/20,
Denver,CO,Outdoor and Recreation,6/6/20,
Baker,OR,Entertainment,6/6/20,
Bronx,NY,Non-Essential Businesses,6/8/20,
Queens,NY,Wholesale Trade,6/8/20,
Richmond,NY,construction,6/8/20,
Kings,NY,Non-Essential Businesses,6/8/20,
Alameda,CA,Day Care,6/8/20,
New York,NY,Agriculture,6/8/20,
New York,NY,Non-Essential Businesses,6/8/20,
Richmond,NY,Wholesale Trade,6/8/20,
Bronx,NY,Wholesale Trade,6/8/20,
Alameda,CA,Phase 2,6/8/20,
Kings,NY,Wholesale Trade,6/8/20,
New York,NY,Wholesale Trade,6/8/20,
Queens,NY,Non-Essential Businesses,6/8/20,
Richmond,NY,Non-Essential Businesses,6/8/20,
San Juan,UT,Phase 2,6/12/20,
Juniata,PA,Phase 2,6/12/20,
Mifflin,PA,Phase 2,6/12/20,
Wyoming,PA,Phase 2,6/12/20,
York,PA,Phase 2,6/12/20,
Adams,PA,Phase 2,6/12/20,
Wayne,PA,Phase 2,6/12/20,
Northumberland,PA,Phase 2,6/12/20,
Adams,ID,Houses of Worship,6/13/20,
Bear Lake,ID,Houses of Worship,6/13/20,
Bear Lake,ID,Mask Mandate,6/13/20,
Adams,ID,Mask Mandate,6/13/20,
Bear Lake,ID,Day Care,6/13/20,
Adams,ID,Day Care,6/13/20,
Carroll,NH,Food and Drink,6/15/20,
Dane,WI,Phase 2,6/15/20,
Coos,NH,Food and Drink,6/15/20,
Strafford,NH,Food and Drink,6/15/20,
Cattaraugus,NY,Food and Drink,6/16/20,6/30/20
Allegany,NY,Non-Essential Businesses,6/16/20,6/30/20
Allegany,NY,Food and Drink,6/16/20,6/30/20
Cattaraugus,NY,Non-Essential Businesses,6/16/20,6/30/20
Cumberland,ME,Outdoor and Recreation,6/17/20,
Denver,CO,Entertainment,6/17/20,
Androscoggin,ME,Outdoor and Recreation,6/17/20,
Denver,CO,Food and Drink,6/17/20,
Denver,CO,Non-Essential Businesses,6/17/20,
Emery,UT,Phase 4,6/19/20,
Huntingdon,PA,Phase 2,6/19/20,
Wayne,UT,Phase 4,6/19/20,
Schuylkill,PA,Phase 2,6/19/20,
Millard,UT,Phase 4,6/19/20,
Daggett,UT,Phase 4,6/19/20,
Garfield,UT,Phase 4,6/19/20,
Piute,UT,Phase 4,6/19/20,
Ada,ID,Childcare (K-12),6/24/20,
Ada,ID,Phase 3,6/24/20,
Ada,ID,Mask Mandate,6/24/20,
Philadelphia,PA,Phase 2,6/26/20,
LaSalle,IL,Manufacturing,6/26/20,
LaSalle,IL,Childcare (K-12),6/26/20,
Erie,PA,Phase 2,6/26/20,
Chester,PA,Phase 2,6/26/20,
Lehigh,PA,Phase 2,6/26/20,
Delaware,PA,Phase 2,6/26/20,
Berks,PA,Phase 2,6/26/20,
Susquehanna,PA,Phase 2,6/26/20,
Monroe,FL,Outdoor and Recreation,7/2/20,7/7/20
Armstrong,TX,Mask Mandate,7/3/20,
Concho,TX,Mask Mandate,7/3/20,
Hardeman,TX,Mask Mandate,7/3/20,
Wheeler,TX,Mask Mandate,7/3/20,
Baylor,TX,Mask Mandate,7/3/20,
Lipscomb,TX,Mask Mandate,7/3/20,
Roberts,TX,Mask Mandate,7/3/20,
Sherman,TX,Mask Mandate,7/3/20,
Hutchinson,TX,Mask Mandate,7/3/20,
Goliad,TX,Mask Mandate,7/3/20,
Lebanon,PA,Phase 2,7/3/20,
Franklin,TX,Mask Mandate,7/3/20,
Pecos,TX,Mask Mandate,7/3/20,
Washington,UT,Phase 3,7/3/20,
Miami-Dade,FL,Outdoor and Recreation,7/3/20,7/6/20
Morris,TX,Mask Mandate,7/3/20,
Broward,FL,Outdoor and Recreation,7/3/20,7/5/20
Borden,TX,Mask Mandate,7/3/20,
Jack,TX,Mask Mandate,7/3/20,
Motley,TX,Mask Mandate,7/3/20,
Oldham,TX,Mask Mandate,7/3/20,
Miami-Dade,FL,Entertainment,7/3/20,7/6/20
McCulloch,TX,Mask Mandate,7/3/20,
Clay,TX,Mask Mandate,7/3/20,
Carson,TX,Mask Mandate,7/3/20,
Collingsworth,TX,Mask Mandate,7/3/20,
Sutton,TX,Mask Mandate,7/3/20,
Sussex,DE,Food and Drink,7/3/20,
Delta,TX,Mask Mandate,7/3/20,
Shackelford,TX,Mask Mandate,7/3/20,
Childress,TX,Mask Mandate,7/3/20,
Bailey,TX,Mask Mandate,7/3/20,
Hancock,ME,Mask Mandate,7/8/20,
York,ME,Mask Mandate,7/8/20,
Butler,OH,Mask Mandate,7/8/20,
Huron,OH,Mask Mandate,7/8/20,
Knox,ME,Mask Mandate,7/8/20,
Lincoln,ME,Mask Mandate,7/8/20,
Miami-Dade,FL,Food and Drink,7/9/20,
Lorain,OH,Mask Mandate,7/10/20,
Harrison,MS,Outdoor and Recreation,7/13/20,7/20/20
Jefferson,MS,Food and Drink,7/13/20,7/20/20
Wayne,MS,Non-Essential Businesses,7/13/20,7/20/20
Harrison,MS,Non-Essential Businesses,7/13/20,7/20/20
Rankin,MS,Childcare (K-12),7/13/20,7/20/20
Grenada,MS,Entertainment,7/13/20,7/20/20
Grenada,MS,Non-Essential Businesses,7/13/20,7/20/20
Dane,WI,Mask Mandate,7/13/20,
Grenada,MS,Outdoor and Recreation,7/13/20,7/20/20
Wayne,MS,Entertainment,7/13/20,7/20/20
Washington,MS,Childcare (K-12),7/13/20,7/20/20
Harrison,MS,Entertainment,7/13/20,7/20/20
Harrison,MS,Food and Drink,7/13/20,7/20/20
Wayne,MS,Food and Drink,7/13/20,7/20/20
Washington,MS,Houses of Worship,7/13/20,7/20/20
Claiborne,MS,Entertainment,7/13/20,7/20/20
Jackson,MS,Non-Essential Businesses,7/13/20,7/20/20
Washington,MS,Manufacturing,7/13/20,7/20/20
DeSoto,MS,Day Care,7/13/20,7/20/20
Rankin,MS,Manufacturing,7/13/20,7/20/20
Wayne,MS,Outdoor and Recreation,7/13/20,7/20/20
Madison,MS,Day Care,7/13/20,7/20/20
Madison,MS,Houses of Worship,7/13/20,7/20/20
Jackson,MS,Entertainment,7/13/20,7/20/20
Rankin,MS,Houses of Worship,7/13/20,7/20/20
Madison,MS,Manufacturing,7/13/20,7/20/20
Grenada,MS,Food and Drink,7/13/20,7/20/20
Claiborne,MS,Outdoor and Recreation,7/13/20,7/20/20
Hinds,MS,Food and Drink,7/13/20,7/20/20
Sunflower,MS,Day Care,7/13/20,7/20/20
Hinds,MS,Non-Essential Businesses,7/13/20,7/20/20
DeSoto,MS,Manufacturing,7/13/20,7/20/20
Hinds,MS,Entertainment,7/13/20,7/20/20
Sunflower,MS,Manufacturing,7/13/20,7/20/20
Jackson,MS,Food and Drink,7/13/20,7/20/20
Rankin,MS,Day Care,7/13/20,7/20/20
Claiborne,MS,Non-Essential Businesses,7/13/20,7/20/20
Sunflower,MS,Childcare (K-12),7/13/20,7/20/20
DeSoto,MS,Childcare (K-12),7/13/20,7/20/20
Jackson,MS,Outdoor and Recreation,7/13/20,7/20/20
Madison,MS,Childcare (K-12),7/13/20,7/20/20
Claiborne,MS,Food and Drink,7/13/20,7/20/20
Quitman,MS,Outdoor and Recreation,7/13/20,7/20/20
Sunflower,MS,Houses of Worship,7/13/20,7/20/20
Quitman,MS,Food and Drink,7/13/20,7/20/20
Jefferson,MS,Non-Essential Businesses,7/13/20,7/20/20
Jefferson,MS,Entertainment,7/13/20,7/20/20
Jefferson,MS,Outdoor and Recreation,7/13/20,7/20/20
DeSoto,MS,Houses of Worship,7/13/20,7/20/20
Washington,MS,Day Care,7/13/20,7/20/20
Hinds,MS,Outdoor and Recreation,7/13/20,7/20/20
Quitman,MS,Non-Essential Businesses,7/13/20,7/20/20
Quitman,MS,Entertainment,7/13/20,7/20/20
Monongalia,WV,Phase 2,7/14/20,7/24/20
Elkhart,IN,Phase 4,7/16/20,7/31/20
Union,OH,Mask Mandate,7/17/20,
Richland,OH,Mask Mandate,7/17/20,
Lucas,OH,Mask Mandate,7/17/20,
Licking,OH,Mask Mandate,7/17/20,
Allen,OH,Mask Mandate,7/17/20,
Delaware,OH,Mask Mandate,7/17/20,
Clermont,OH,Public Health Advisory System,7/23/20,
Franklin,OH,Public Health Advisory System,7/23/20,
Athens,OH,Public Health Advisory System,7/23/20,
Montgomery,OH,Public Health Advisory System,7/23/20,
Pickaway,OH,Public Health Advisory System,7/23/20,
Scioto,OH,Public Health Advisory System,7/23/20,
Hamilton,OH,Public Health Advisory System,7/23/20,
Henry,OH,Public Health Advisory System,7/23/20,
Lawrence,OH,Public Health Advisory System,7/23/20,
Wood,OH,Public Health Advisory System,7/23/20,
Hardin,OH,Public Health Advisory System,7/23/20,
Medina,OH,Public Health Advisory System,7/23/20,
Summit,OH,Public Health Advisory System,7/23/20,
Cuyahoga,OH,Public Health Advisory System,7/23/20,
Fairfield,OH,Public Health Advisory System,7/23/20,
Monongalia,WV,Bars,7/23/20,8/13/20
Montgomery,MS,Phase 3,7/25/20,8/3/20
Lamar,MS,Phase 3,7/25/20,8/3/20
Mackinac,MI,Entertainment,7/31/20,
Menominee,MI,Entertainment,7/31/20,
Luce,MI,Entertainment,7/31/20,
Montmorency,MI,Outdoor and Recreation,7/31/20,
Alpena,MI,Outdoor and Recreation,7/31/20,
Iron,MI,Outdoor and Recreation,7/31/20,
Mackinac,MI,Outdoor and Recreation,7/31/20,
Ontonagon,MI,Outdoor and Recreation,7/31/20,
Antrim,MI,Entertainment,7/31/20,
Grand Traverse,MI,Outdoor and Recreation,7/31/20,
Antrim,MI,Outdoor and Recreation,7/31/20,
Iron,MI,Entertainment,7/31/20,
Luce,MI,Outdoor and Recreation,7/31/20,
Montmorency,MI,Entertainment,7/31/20,
Grand Traverse,MI,Entertainment,7/31/20,
Cheboygan,MI,Outdoor and Recreation,7/31/20,
Cheboygan,MI,Entertainment,7/31/20,
Ontonagon,MI,Entertainment,7/31/20,
Alpena,MI,Entertainment,7/31/20,
Wexford,MI,Entertainment,7/31/20,
Presque Isle,MI,Entertainment,7/31/20,
Wexford,MI,Outdoor and Recreation,7/31/20,
Presque Isle,MI,Outdoor and Recreation,7/31/20,
Menominee,MI,Outdoor and Recreation,7/31/20,
Monroe,IL,Non-Essential Businesses,8/18/20,
Monroe,IL,Entertainment,8/18/20,
Monroe,IL,Food and Drink,8/18/20,
Dallas,IA,Food and Drink,8/27/20,9/20/20
Johnson,IA,Food and Drink,8/27/20,9/20/20
Pima,AZ,Outdoor and Recreation,8/27/20,
Apache,AZ,Non-Essential Businesses,8/27/20,
Pima,AZ,Non-Essential Businesses,8/27/20,
Apache,AZ,Outdoor and Recreation,8/27/20,
Story,IA,Food and Drink,8/27/20,9/20/20
Stark,ND,Phase 3,9/3/20,
Burleigh,ND,Outdoor and Recreation,9/3/20,
McIntosh,ND,Non-Essential Businesses,9/3/20,
McLean,ND,Childcare (K-12),9/3/20,
Morton,ND,Phase 3,9/3/20,
Mercer,ND,Childcare (K-12),9/3/20,
Burleigh,ND,Non-Essential Businesses,9/3/20,
Barnes,ND,Non-Essential Businesses,9/3/20,
McIntosh,ND,Outdoor and Recreation,9/3/20,
Pierce,ND,Food and Drink,9/3/20,
Benson,ND,Childcare (K-12),9/3/20,
LaMoure,ND,Childcare (K-12),9/3/20,
Nelson,ND,Outdoor and Recreation,9/3/20,
Pierce,ND,Phase 5,9/3/20,
Williams,ND,Childcare (K-12),9/3/20,
Nelson,ND,Food and Drink,9/3/20,
Pierce,ND,Non-Essential Businesses,9/3/20,
Pierce,ND,Outdoor and Recreation,9/3/20,
Divide,ND,Outdoor and Recreation,9/3/20,
Nelson,ND,Phase 5,9/3/20,
Griggs,ND,Childcare (K-12),9/3/20,
Wells,ND,Childcare (K-12),9/3/20,
Divide,ND,Food and Drink,9/3/20,
Cavalier,ND,Childcare (K-12),9/3/20,
McIntosh,ND,Phase 5,9/3/20,
Barnes,ND,Food and Drink,9/3/20,
Renville,ND,Childcare (K-12),9/3/20,
Divide,ND,Non-Essential Businesses,9/3/20,
Divide,ND,Phase 5,9/3/20,
Traill,ND,Childcare (K-12),9/3/20,
McIntosh,ND,Food and Drink,9/3/20,
Walsh,ND,Childcare (K-12),9/3/20,
Nelson,ND,Non-Essential Businesses,9/3/20,
Williams,ND,Phase 3,9/3/20,
Grand Forks,ND,Phase 3,9/3/20,
Rolette,ND,Childcare (K-12),9/3/20,
Barnes,ND,Outdoor and Recreation,9/3/20,
Benson,ND,Phase 3,9/3/20,
Grand Forks,ND,Childcare (K-12),9/3/20,
McLean,ND,Phase 3,9/3/20,
Billings,ND,Childcare (K-12),9/3/20,
Pembina,ND,Childcare (K-12),9/3/20,
Morton,ND,Childcare (K-12),9/3/20,
Foster,ND,Childcare (K-12),9/3/20,
Stark,ND,Childcare (K-12),9/3/20,
Burleigh,ND,Food and Drink,9/3/20,
Palm Beach,FL,Phase 2,9/4/20,
Carbon,UT,Day Care,9/11/20,
Carbon,UT,Houses of Worship,9/11/20,
Lancaster,NE,Non-Essential Businesses,9/14/20,12/16/20
Lancaster,NE,Food and Drink,9/14/20,12/16/20
Honolulu,HI,Outdoor and Recreation,9/24/20,10/31/20
Honolulu,HI,Entertainment,9/24/20,10/31/20
Honolulu,HI,Non-Essential Businesses,9/24/20,10/31/20
Archuleta,CO,Non-Essential Businesses,9/25/20,
La Plata,CO,Mask Mandate,9/25/20,
Archuleta,CO,Outdoor and Recreation,9/25/20,
La Plata,CO,Houses of Worship,9/25/20,
La Plata,CO,Phase 1,9/25/20,
Archuleta,CO,Food and Drink,9/25/20,
San Francisco,CA,Phase 2,9/30/20,
San Francisco,CA,Childcare (K-12),9/30/20,
Ventura,CA,Houses of Worship,10/6/20,
Chaffee,CO,Phase 2,10/6/20,
Ventura,CA,Phase 2,10/6/20,
Chaffee,CO,Mask Mandate,10/6/20,
Madison,ID,Childcare (K-12),10/27/20,
Clark,ID,Mask Mandate,10/27/20,
Twin Falls,ID,Phase 3,10/27/20,
Bingham,ID,Childcare (K-12),10/27/20,
Clark,ID,Phase 3,10/27/20,
Canyon,ID,Phase 3,10/27/20,
Oneida,ID,Phase 3,10/27/20,
Washington,ID,Food and Drink,10/27/20,
Valley,ID,Phase 3,10/27/20,
Jefferson,ID,Phase 3,10/27/20,
Teton,ID,Food and Drink,10/27/20,
Clark,ID,Childcare (K-12),10/27/20,
Custer,ID,Mask Mandate,10/27/20,
Valley,ID,Childcare (K-12),10/27/20,
Bingham,ID,Phase 3,10/27/20,
Jefferson,ID,Childcare (K-12),10/27/20,
Madison,ID,Mask Mandate,10/27/20,
Oneida,ID,Childcare (K-12),10/27/20,
Twin Falls,ID,Mask Mandate,10/27/20,
Butte,ID,Food and Drink,10/27/20,
Bonneville,ID,Childcare (K-12),10/27/20,
Bonneville,ID,Mask Mandate,10/27/20,
Custer,ID,Childcare (K-12),10/27/20,
Madison,ID,Phase 3,10/27/20,
Bonneville,ID,Phase 3,10/27/20,
Custer,ID,Phase 3,10/27/20,
Bingham,ID,Mask Mandate,10/27/20,
Jefferson,ID,Mask Mandate,10/27/20,
Franklin,ID,Food and Drink,10/27/20,
Valley,ID,Mask Mandate,10/27/20,
Oneida,ID,Mask Mandate,10/27/20,
Fremont,ID,Food and Drink,10/27/20,
Adams,ID,Phase 3,10/27/20,
Elmore,ID,Food and Drink,10/27/20,
Lemhi,ID,Food and Drink,10/27/20,
Power,ID,Food and Drink,10/27/20,
Gem,ID,Phase 3,10/27/20,
Boise,ID,Food and Drink,10/27/20,
Payette,ID,Phase 3,10/27/20,
Bingham,ID,Houses of Worship,10/27/20,
Owyhee,ID,Phase 3,10/27/20,
Caribou,ID,Food and Drink,10/27/20,
Otero,CO,Houses of Worship,10/30/20,
Otero,CO,Phase 2,10/30/20,
Otero,CO,Manufacturing,10/30/20,
Lancaster,NE,Outdoor and Recreation,11/1/20,11/30/20
Washington,UT,Mask Mandate,11/1/20,
Forrest,MS,Outdoor and Recreation,11/12/20,12/12/20
Forrest,MS,Non-Essential Businesses,11/12/20,12/12/20
Lewis,ID,Phase 2,11/14/20,
Latah,ID,Phase 2,11/14/20,
Kootenai,ID,Food and Drink,11/14/20,
Boundary,ID,Childcare (K-12),11/14/20,
Idaho,ID,Food and Drink,11/14/20,
Nez Perce,ID,Food and Drink,11/14/20,
Clearwater,ID,Phase 2,11/14/20,
Benewah,ID,Childcare (K-12),11/14/20,
Boundary,ID,Phase 2,11/14/20,
Boundary,ID,Mask Mandate,11/14/20,
Latah,ID,Childcare (K-12),11/14/20,
Lewis,ID,Mask Mandate,11/14/20,
Latah,ID,Mask Mandate,11/14/20,
Benewah,ID,Mask Mandate,11/14/20,
Bonner,ID,Phase 2,11/14/20,
Bonner,ID,Mask Mandate,11/14/20,
Clearwater,ID,Mask Mandate,11/14/20,
Shoshone,ID,Food and Drink,11/14/20,
Bonner,ID,Childcare (K-12),11/14/20,
Benewah,ID,Phase 2,11/14/20,
San Diego,CA,Shelter in Place,11/16/20,
San Diego,CA,Non-Essential Businesses,11/16/20,
San Diego,CA,Outdoor and Recreation,11/16/20,
Glenn,CA,Non-Essential Businesses,11/16/20,
Stanislaus,CA,Houses of Worship,11/16/20,
Fresno,CA,Shelter in Place,11/16/20,
Glenn,CA,Outdoor and Recreation,11/16/20,
San Diego,CA,Food and Drink,11/16/20,
Glenn,CA,Food and Drink,11/16/20,
Fresno,CA,Food and Drink,11/16/20,
Fresno,CA,Non-Essential Businesses,11/16/20,
Fresno,CA,Outdoor and Recreation,11/16/20,
Glenn,CA,Shelter in Place,11/16/20,
El Dorado,CA,Non-Essential Businesses,11/17/20,
El Dorado,CA,Food and Drink,11/17/20,
Kings,CA,Houses of Worship,11/17/20,
El Dorado,CA,Outdoor and Recreation,11/17/20,
Garfield,UT,Entertainment,11/23/20,
Garfield,UT,Outdoor and Recreation,11/23/20,
Garfield,UT,Food and Drink,11/23/20,
Garfield,UT,Non-Essential Businesses,11/23/20,
Davis,UT,Outdoor and Recreation,11/24/20,
Salt Lake,UT,Non-Essential Businesses,11/24/20,
Sevier,UT,Mask Mandate,11/24/20,
Weber,UT,Phase 1,11/24/20,
Millard,UT,Non-Essential Businesses,11/24/20,
Wasatch,UT,Mask Mandate,11/24/20,
Morgan,UT,Entertainment,11/24/20,
Carbon,UT,Childcare (K-12),11/24/20,
Sevier,UT,Phase 1,11/24/20,
Cache,UT,Non-Essential Businesses,11/24/20,
Duchesne,UT,Mask Mandate,11/24/20,
Carbon,UT,Mask Mandate,11/24/20,
Iron,UT,Phase 1,11/24/20,
Weber,UT,Mask Mandate,11/24/20,
Sevier,UT,Childcare (K-12),11/24/20,
Cache,UT,Outdoor and Recreation,11/24/20,
Emery,UT,Food and Drink,11/24/20,
Sanpete,UT,Phase 1,11/24/20,
Weber,UT,Childcare (K-12),11/24/20,
Utah,UT,Non-Essential Businesses,11/24/20,
Kane,UT,Phase 1,11/24/20,
Washington,UT,Phase 1,11/24/20,
Davis,UT,Entertainment,11/24/20,
Tooele,UT,Non-Essential Businesses,11/24/20,
Sanpete,UT,Childcare (K-12),11/24/20,
Uintah,UT,Childcare (K-12),11/24/20,
Wayne,UT,Entertainment,11/24/20,
Summit,UT,Food and Drink,11/24/20,
Forrest,MS,Food and Drink,11/24/20,
Iron,UT,Childcare (K-12),11/24/20,
Summit,UT,Non-Essential Businesses,11/24/20,
Beaver,UT,Mask Mandate,11/24/20,
Wasatch,UT,Phase 1,11/24/20,
Millard,UT,Food and Drink,11/24/20,
Kane,UT,Childcare (K-12),11/24/20,
Grand,UT,Food and Drink,11/24/20,
Millard,UT,Entertainment,11/24/20,
Davis,UT,Non-Essential Businesses,11/24/20,
Morgan,UT,Outdoor and Recreation,11/24/20,
Salt Lake,UT,Entertainment,11/24/20,
Juab,UT,Mask Mandate,11/24/20,
Millard,UT,Outdoor and Recreation,11/24/20,
Uintah,UT,Mask Mandate,11/24/20,
Utah,UT,Entertainment,11/24/20,
Box Elder,UT,Mask Mandate,11/24/20,
Carbon,UT,Phase 1,11/24/20,
Emery,UT,Entertainment,11/24/20,
Wayne,UT,Outdoor and Recreation,11/24/20,
Cache,UT,Entertainment,11/24/20,
Davis,UT,Food and Drink,11/24/20,
Tooele,UT,Entertainment,11/24/20,
Salt Lake,UT,Food and Drink,11/24/20,
Grand,UT,Entertainment,11/24/20,
Grand,UT,Non-Essential Businesses,11/24/20,
Wayne,UT,Food and Drink,11/24/20,
Beaver,UT,Phase 1,11/24/20,
Juab,UT,Phase 1,11/24/20,
Summit,UT,Entertainment,11/24/20,
Wayne,UT,Non-Essential Businesses,11/24/20,
Emery,UT,Non-Essential Businesses,11/24/20,
Beaver,UT,Childcare (K-12),11/24/20,
Kane,UT,Mask Mandate,11/24/20,
Juab,UT,Childcare (K-12),11/24/20,
Duchesne,UT,Childcare (K-12),11/24/20,
Utah,UT,Outdoor and Recreation,11/24/20,
Morgan,UT,Food and Drink,11/24/20,
Duchesne,UT,Phase 1,11/24/20,
Box Elder,UT,Phase 1,11/24/20,
Tooele,UT,Food and Drink,11/24/20,
Box Elder,UT,Childcare (K-12),11/24/20,
Wasatch,UT,Childcare (K-12),11/24/20,
Tooele,UT,Outdoor and Recreation,11/24/20,
Sanpete,UT,Mask Mandate,11/24/20,
Emery,UT,Outdoor and Recreation,11/24/20,
San Juan,UT,Phase 1,11/24/20,
Morgan,UT,Non-Essential Businesses,11/24/20,
Utah,UT,Food and Drink,11/24/20,
San Juan,UT,Childcare (K-12),11/24/20,
San Juan,UT,Mask Mandate,11/24/20,
Cache,UT,Food and Drink,11/24/20,
Salt Lake,UT,Outdoor and Recreation,11/24/20,
Summit,UT,Outdoor and Recreation,11/24/20,
Iron,UT,Mask Mandate,11/24/20,
Uintah,UT,Phase 1,11/24/20,
Grand,UT,Outdoor and Recreation,11/24/20,
Washington,UT,Childcare (K-12),11/24/20,
Lincoln,NE,Childcare (K-12),11/25/20,12/16/20
Lincoln,NE,Mask Mandate,11/25/20,12/16/20
Lincoln,NE,Phase 1,11/25/20,12/16/20
