state,policy_type,start_date,stop_date
DE,Allow Audio Only Telehealth,1/1/20,
CA,State of Emergency,3/4/20,
MD,State of Emergency,3/5/20,
UT,State of Emergency,3/6/20,
KY,State of Emergency,3/6/20,
IN,State of Emergency,3/6/20,
IA,State of Emergency,3/9/20,
NJ,State of Emergency,3/9/20,
MA,State of Emergency,3/10/20,
WA,Reopened ACA Enrollment Using a Special Enrollment Period,3/10/20,
CT,State of Emergency,3/10/20,
NC,State of Emergency,3/10/20,
LA,State of Emergency,3/11/20,
AK,State of Emergency,3/11/20,
NM,State of Emergency,3/11/20,
DC,Order Freezing Utility Shut Offs,3/11/20,
OH,Nursing Homes,3/11/20,
MA,Allow Expand Medicaid Telehealth Coverage,3/12/20,
TN,State of Emergency,3/12/20,
MT,State of Emergency,3/12/20,
MD,Allow Expand Medicaid Telehealth Coverage,3/12/20,
NV,State of Emergency,3/12/20,
CO,Nursing Homes,3/12/20,
IA,Allow Expand Medicaid Telehealth Coverage,3/13/20,
SD,State of Emergency,3/13/20,
DE,State of Emergency,3/13/20,
TN,Allow Expand Medicaid Telehealth Coverage,3/13/20,
AL,State of Emergency,3/13/20,
VT,Nursing Homes,3/13/20,
RI,Nursing Homes,3/13/20,
PA,Order Freezing Utility Shut Offs,3/13/20,
ID,State of Emergency,3/13/20,
NY,Nursing Homes,3/13/20,
MO,State of Emergency,3/13/20,
WY,State of Emergency,3/13/20,
NE,State of Emergency,3/13/20,
LA,Allow Expand Medicaid Telehealth Coverage,3/13/20,
SC,State of Emergency,3/13/20,
WI,Order Freezing Utility Shut Offs,3/13/20,
NY,Order Freezing Utility Shut Offs,3/13/20,
AR,Nursing Homes,3/13/20,
MS,State of Emergency,3/14/20,
MI,Nursing Homes,3/14/20,
GA,State of Emergency,3/14/20,
RI,Reopened ACA Enrollment Using a Special Enrollment Period,3/14/20,
FL,Nursing Homes,3/15/20,
OK,State of Emergency,3/15/20,
SC,Allow Expand Medicaid Telehealth Coverage,3/15/20,
WV,Allow Audio Only Telehealth,3/16/20,
WV,State of Emergency,3/16/20,
ID,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/16/20,
ME,Order Freezing Utility Shut Offs,3/16/20,
OR,Nursing Homes,3/16/20,
MD,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/16/20,
PR,Non-Essential Businesses,3/16/20,6/15/20
AL,Allow Expand Medicaid Telehealth Coverage,3/16/20,
PR,Food and Drink,3/16/20,6/15/20
NY,Reopened ACA Enrollment Using a Special Enrollment Period,3/16/20,
MA,Allow Audio Only Telehealth,3/16/20,
KS,Order Freezing Utility Shut Offs,3/16/20,
OK,Allow Expand Medicaid Telehealth Coverage,3/16/20,
PR,Outdoor and Recreation,3/16/20,6/15/20
CT,Gyms,3/16/20,
WA,Nursing Homes,3/16/20,
VA,Order Freezing Utility Shut Offs,3/16/20,
NH,Nursing Homes,3/16/20,
NJ,Gyms,3/16/20,
MS,Allow Audio Only Telehealth,3/16/20,
PR,Shelter in Place,3/16/20,6/15/20
FL,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/16/20,
RI,Day Care,3/16/20,
RI,Order Freezing Utility Shut Offs,3/16/20,
NH,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
AK,Allow Audio Only Telehealth,3/17/20,
DE,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NH,Order Freezing Utility Shut Offs,3/17/20,
PA,Nursing Homes,3/17/20,
LA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
LA,Gyms,3/17/20,
NV,Allow Audio Only Telehealth,3/17/20,
HI,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
WV,Allow Expand Medicaid Telehealth Coverage,3/17/20,
FL,Childcare (K-12),3/17/20,
SC,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NE,Allow Expand Medicaid Telehealth Coverage,3/17/20,
DC,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/17/20,
NV,Allow Expand Medicaid Telehealth Coverage,3/17/20,
ID,Allow Expand Medicaid Telehealth Coverage,3/17/20,
HI,Nursing Homes,3/17/20,
PA,Day Care,3/17/20,
VT,Order Freezing Utility Shut Offs,3/18/20,
GA,Allow Audio Only Telehealth,3/18/20,
OH,Suspended Elective Medical Dental Procedures,3/18/20,
KY,Allow Audio Only Telehealth,3/18/20,
VI,Childcare (K-12),3/18/20,4/14/20
CA,Allow Expand Medicaid Telehealth Coverage,3/18/20,
AK,Gyms,3/18/20,
KS,Childcare (K-12),3/18/20,
CT,Allow Expand Medicaid Telehealth Coverage,3/18/20,
KY,Allow Expand Medicaid Telehealth Coverage,3/18/20,
WA,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/18/20,
GA,Allow Expand Medicaid Telehealth Coverage,3/18/20,
DE,Allow Expand Medicaid Telehealth Coverage,3/18/20,
IL,Order Freezing Utility Shut Offs,3/18/20,
KY,Gyms,3/18/20,
VT,Day Care,3/18/20,
CA,Non-Essential Businesses,3/19/20,
CA,Shelter in Place,3/19/20,
MT,Allow Expand Medicaid Telehealth Coverage,3/19/20,
DE,Gyms,3/19/20,
WA,Suspended Elective Medical Dental Procedures,3/19/20,
TX,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
WA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/19/20,
TN,Allow Audio Only Telehealth,3/19/20,
WV,Food and Drink,3/19/20,
CT,Allow Audio Only Telehealth,3/19/20,
IN,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
NM,Gyms,3/19/20,
SC,Allow Audio Only Telehealth,3/19/20,
WV,Gyms,3/19/20,
IA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/19/20,
CA,Gyms,3/19/20,
MI,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/20/20,
VT,Reopened ACA Enrollment Using a Special Enrollment Period,3/20/20,
NM,Allow Audio Only Telehealth,3/20/20,
AK,Allow Expand Medicaid Telehealth Coverage,3/20/20,
MT,Gyms,3/20/20,
CO,Order Freezing Utility Shut Offs,3/20/20,
NY,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/20/20,
NY,Suspended Elective Medical Dental Procedures,3/20/20,
CO,Reopened ACA Enrollment Using a Special Enrollment Period,3/20/20,
PA,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/20/20,
CO,Phase 2,3/20/20,9/9/20
FL,Suspended Elective Medical Dental Procedures,3/20/20,
MN,Reopened ACA Enrollment Using a Special Enrollment Period,3/20/20,
MT,Allow Audio Only Telehealth,3/20/20,
NM,Allow Expand Medicaid Telehealth Coverage,3/20/20,
VT,Suspended Elective Medical Dental Procedures,3/20/20,
UT,Allow Expand Medicaid Telehealth Coverage,3/20/20,
NJ,Allow Expand Medicaid Telehealth Coverage,3/20/20,
NJ,Shelter in Place,3/21/20,6/9/20
IL,Childcare (K-12),3/21/20,8/19/20
TX,Nursing Homes,3/21/20,
PA,Suspended Elective Medical Dental Procedures,3/21/20,
IL,Day Care,3/21/20,5/30/20
NY,Froze Mortgage Payments,3/21/20,
NV,Gyms,3/21/20,
AZ,Suspended Elective Medical Dental Procedures,3/21/20,
MI,Suspended Elective Medical Dental Procedures,3/21/20,
IL,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/21/20,
LA,Outdoor and Recreation,3/22/20,8/7/20
NJ,Allow Audio Only Telehealth,3/22/20,
AL,Allow Audio Only Telehealth,3/22/20,
OR,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/22/20,
LA,Shelter in Place,3/22/20,5/15/20
LA,Food and Drink,3/22/20,8/7/20
TX,Suspended Elective Medical Dental Procedures,3/22/20,
MN,Suspended Elective Medical Dental Procedures,3/23/20,
VA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
SD,Allow Expand Medicaid Telehealth Coverage,3/23/20,
IN,Outdoor and Recreation,3/23/20,7/3/20
AZ,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
LA,Allow Audio Only Telehealth,3/23/20,
IL,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
NE,Allow Audio Only Telehealth,3/23/20,
IN,Non-Essential Businesses,3/23/20,7/3/20
OR,Suspended Elective Medical Dental Procedures,3/23/20,
NC,Allow Expand Medicaid Telehealth Coverage,3/23/20,
AK,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/23/20,
CT,Outdoor and Recreation,3/23/20,5/20/20
MO,Allow Expand Medicaid Telehealth Coverage,3/23/20,
CT,Non-Essential Businesses,3/23/20,6/20/20
IN,Food and Drink,3/23/20,10/1/20
NH,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/23/20,
TN,Gyms,3/23/20,
CT,Food and Drink,3/23/20,11/12/20
CT,Shelter in Place,3/23/20,5/20/20
CO,Suspended Elective Medical Dental Procedures,3/23/20,
CT,Entertainment,3/23/20,6/20/20
MI,Day Care,3/24/20,7/7/20
IN,Shelter in Place,3/24/20,5/1/20
MI,Childcare (K-12),3/24/20,7/24/20
MN,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/24/20,
WV,Non-Essential Businesses,3/24/20,
MA,Shelter in Place,3/24/20,5/18/20
KS,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/24/20,
ND,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/24/20,
MA,Gyms,3/24/20,
OK,Shelter in Place,3/24/20,5/6/20
DE,Shelter in Place,3/24/20,5/31/20
WV,Shelter in Place,3/24/20,5/4/20
AZ,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/24/20,
UT,Allow Audio Only Telehealth,3/25/20,
NE,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/25/20,
VA,Suspended Elective Medical Dental Procedures,3/25/20,
RI,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
TN,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/25/20,
ID,Gyms,3/25/20,
ID,Shelter in Place,3/25/20,5/1/20
NC,Gyms,3/25/20,
OR,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/25/20,
IN,Gyms,3/25/20,
OK,Allow Audio Only Telehealth,3/25/20,
MN,Houses of Worship,3/26/20,6/9/20
TX,Order Freezing Utility Shut Offs,3/26/20,
HI,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
MO,Allow Audio Only Telehealth,3/26/20,
CO,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
NY,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/26/20,
MN,Childcare (K-12),3/26/20,6/9/20
IA,Allow Audio Only Telehealth,3/26/20,
KY,Shelter in Place,3/26/20,5/20/20
PA,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/27/20,
MN,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/27/20,
UT,Gyms,3/27/20,
MN,Mask Mandate,7/24/20,5/17/20
UT,Shelter in Place,3/27/20,5/1/20
WI,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,3/27/20,
MI,Order Freezing Utility Shut Offs,3/28/20,
AL,Gyms,3/28/20,
AK,Shelter in Place,3/28/20,4/24/20
MT,Shelter in Place,3/28/20,4/27/20
NV,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/29/20,
OH,Day Care,3/30/20,6/30/20
NC,Shelter in Place,3/30/20,5/8/20
OH,Childcare (K-12),3/30/20,6/30/20
TX,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
IN,Allow Audio Only Telehealth,3/30/20,
CA,Allow Audio Only Telehealth,3/30/20,
IN,Allow Expand Medicaid Telehealth Coverage,3/30/20,
MD,Shelter in Place,3/30/20,5/15/20
VT,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,3/30/20,
MT,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,3/30/20,
AZ,Personal Care,3/31/20,5/31/20
MS,Food and Drink,4/1/20,9/30/20
MS,Entertainment,4/1/20,9/30/20
KY,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/1/20,
SC,Non-Essential Businesses,4/1/20,
SC,Gyms,4/1/20,
OK,Non-Essential Businesses,4/1/20,
MS,Outdoor and Recreation,4/1/20,9/30/20
NV,Shelter in Place,4/1/20,5/15/20
MS,Non-Essential Businesses,4/1/20,9/30/20
MS,Shelter in Place,4/1/20,4/27/20
MD,Allow Audio Only Telehealth,4/1/20,
OK,Gyms,4/1/20,
IA,Shelter in Place,4/2/20,4/30/20
FL,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/2/20,
AR,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/2/20,
TN,Shelter in Place,4/2/20,4/29/20
DC,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/3/20,
MS,Gyms,4/3/20,
AR,Suspended Elective Medical Dental Procedures,4/3/20,
NE,Gyms,4/3/20,
MO,Gyms,4/3/20,
AL,Shelter in Place,4/4/20,4/30/20
ND,Nursing Homes,4/6/20,
DC,Reopened ACA Enrollment Using a Special Enrollment Period,4/6/20,
ID,Allow Audio Only Telehealth,4/6/20,
MI,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/6/20,
MO,Shelter in Place,4/6/20,5/3/20
SC,Shelter in Place,4/7/20,5/4/20
ME,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/7/20,
AR,Order Freezing Utility Shut Offs,4/10/20,
RI,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/10/20,
MS,Allow Expand Medicaid Telehealth Coverage,4/10/20,
CT,Renter Grace Period Or Use Of Security Deposit To Pay Rent,4/10/20,
CT,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/10/20,
NE,Shelter in Place,4/10/20,5/11/20
NY,Mask Mandate,4/17/20,
SD,Allow Audio Only Telehealth,4/15/20,
DC,Mask Mandate,6/22/20,
ME,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/16/20,
WA,Order Freezing Utility Shut Offs,4/17/20,
VT,Mask Mandate,8/1/20,8/15/20
RI,Mask Mandate,8/3/20,9/2/20
PA,Mask Mandate,7/1/20,
MA,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,4/20/20,
WI,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/20/20,
OH,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,4/22/20,
GA,Gyms,4/23/20,
CO,Mask Mandate,7/16/20,8/16/20
GA,Food and Drink,4/23/20,9/30/20
GA,Outdoor and Recreation,4/23/20,9/30/20
GA,Entertainment,4/23/20,9/30/20
GA,Non-Essential Businesses,4/23/20,9/30/20
NJ,Renter Grace Period Or Use Of Security Deposit To Pay Rent,4/24/20,
MI,Mask Mandate,7/10/20,
TN,Entertainment,4/27/20,
MT,Outdoor and Recreation,4/27/20,6/1/20
TN,Outdoor and Recreation,4/27/20,10/30/20
TN,Food and Drink,4/27/20,
MT,Non-Essential Businesses,4/27/20,6/1/20
ND,Mask Mandate,4/28/20,
OH,Mask Mandate,7/23/20,
NM,Food and Drink,4/30/20,9/18/20
NM,Outdoor and Recreation,4/30/20,8/28/20
NM,Shelter in Place,4/30/20,5/15/20
CO,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,4/30/20,
NM,Non-Essential Businesses,4/30/20,8/28/20
NM,Entertainment,4/30/20,8/28/20
TX,Manufacturing,5/1/20,5/18/20
IL,Mask Mandate,5/1/20,
ND,Personal Care,5/1/20,
NH,Mask Mandate,8/11/20,
ID,Entertainment,5/1/20,6/12/20
IL,Phase 2,5/1/20,
TX,Personal Care,5/1/20,5/18/20
ID,Non-Essential Businesses,5/1/20,6/12/20
IL,Manufacturing,5/1/20,
ME,Mask Mandate,8/1/20,
ME,Houses of Worship,5/1/20,5/31/20
TX,Phase 1,5/1/20,
ID,Outdoor and Recreation,5/1/20,6/26/20
ID,Food and Drink,5/1/20,6/26/20
ND,New Phase,5/1/20,
VI,Mask Mandate,5/4/20,
NH,Manufacturing,5/4/20,
MO,Entertainment,5/4/20,6/15/20
MT,Food and Drink,5/4/20,6/1/20
VI,Houses of Worship,5/4/20,
AR,Manufacturing,5/4/20,
AR,Phase 1,5/4/20,
NE,Food and Drink,5/4/20,12/31/20
VI,Phase 3,5/4/20,
AR,Houses of Worship,5/4/20,
AR,Childcare (K-12),5/4/20,
SC,Food and Drink,5/4/20,
WA,Mask Mandate,6/26/20,
MO,Outdoor and Recreation,5/4/20,6/15/20
SC,Outdoor and Recreation,5/4/20,
OH,Manufacturing,5/4/20,
MO,Non-Essential Businesses,5/4/20,6/15/20
KS,Phase 1,5/4/20,5/18/20
NE,Entertainment,5/4/20,5/31/20
HI,Order Freezing Utility Shut Offs,5/4/20,
KS,Personal Care,5/4/20,6/7/20
WA,Personal Care,5/5/20,
WA,New Phase,5/5/20,
AR,Personal Care,5/6/20,
HI,Phase 1,5/7/20,
HI,Personal Care,5/7/20,
NC,Food and Drink,5/8/20,10/2/20
AK,Entertainment,5/8/20,
AK,Food and Drink,5/8/20,
CA,Food and Drink,5/8/20,5/18/20
CA,Entertainment,5/8/20,
AK,Outdoor and Recreation,5/8/20,
CA,Outdoor and Recreation,5/8/20,
AK,Non-Essential Businesses,5/8/20,
NC,Entertainment,5/8/20,10/2/20
NC,Non-Essential Businesses,5/8/20,10/2/20
AZ,Mask Mandate,6/17/20,
TX,Mask Mandate,7/3/20,
NC,Outdoor and Recreation,5/8/20,10/2/20
NV,Outdoor and Recreation,5/9/20,
NV,Non-Essential Businesses,5/9/20,
RI,Houses of Worship,5/9/20,8/28/20
NV,Food and Drink,5/9/20,
OR,Mask Mandate,7/15/20,
RI,Phase 1,5/9/20,5/21/20
NV,Entertainment,5/9/20,
VT,Manufacturing,5/11/20,5/15/20
WI,Childcare (K-12),5/11/20,
AR,Mask Mandate,7/20/20,
WI,Day Care,5/11/20,
AL,Outdoor and Recreation,5/11/20,11/8/20
AL,Food and Drink,5/11/20,11/8/20
FL,Mask Mandate,5/11/20,
VT,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,5/14/20,
LA,Entertainment,5/15/20,8/7/20
OR,Childcare (K-12),5/15/20,6/30/20
IA,Outdoor and Recreation,5/15/20,6/25/20
OR,New Phase,5/15/20,
DE,Food and Drink,5/15/20,
OK,Food and Drink,5/15/20,
WY,Non-Essential Businesses,5/15/20,7/31/20
OR,Personal Care,5/15/20,
VA,Houses of Worship,5/15/20,
IA,Entertainment,5/15/20,6/25/20
OK,Entertainment,5/15/20,
IA,Food and Drink,5/15/20,6/25/20
LA,Non-Essential Businesses,5/15/20,8/7/20
WY,Food and Drink,5/15/20,7/31/20
VA,New Phase,5/15/20,
WY,Outdoor and Recreation,5/15/20,
WY,Entertainment,5/15/20,7/31/20
IA,Non-Essential Businesses,5/15/20,6/25/20
AZ,Manufacturing,5/16/20,
AZ,Childcare (K-12),5/16/20,
AZ,Phase 1,5/16/20,7/27/20
AZ,Houses of Worship,5/16/20,7/27/20
AZ,Day Care,5/16/20,
HI,Phase 2,5/18/20,
TX,Childcare (K-12),5/18/20,
MN,Phase 1,5/18/20,6/1/20
HI,Childcare (K-12),5/18/20,
TX,Day Care,5/18/20,
HI,Houses of Worship,5/18/20,
HI,Manufacturing,5/18/20,
TX,Phase 2,5/18/20,
WY,Renter Grace Period Or Use Of Security Deposit To Pay Rent,5/20/20,
KY,Non-Essential Businesses,5/20/20,8/9/20
WI,Phase 1,5/20/20,
RI,Phase 2,5/21/20,7/12/20
RI,Childcare (K-12),5/21/20,9/19/20
TN,Non-Essential Businesses,5/22/20,
KS,Phase 2,5/22/20,6/7/20
SC,Entertainment,5/22/20,
AL,Entertainment,5/22/20,11/8/20
IN,Entertainment,5/22/20,7/17/20
AK,museums,5/22/20,
DE,Outdoor and Recreation,5/22/20,
WA,Childcare (K-12),5/25/20,
MA,Non-Essential Businesses,5/25/20,
WA,Houses of Worship,5/25/20,
WA,Manufacturing,5/25/20,
MA,Outdoor and Recreation,5/25/20,
WV,Entertainment,5/26/20,
WV,Outdoor and Recreation,5/26/20,
UT,Entertainment,5/27/20,11/23/20
UT,Non-Essential Businesses,5/27/20,11/23/20
CO,New Phase,5/27/20,
UT,Outdoor and Recreation,5/27/20,11/23/20
CO,libraries,5/27/20,
UT,Food and Drink,5/27/20,11/23/20
IL,Houses of Worship,5/29/20,
NH,Houses of Worship,5/29/20,
VA,Mask Mandate,5/29/20,
IL,Phase 3,5/29/20,
OH,Houses of Worship,5/29/20,7/1/20
NH,Childcare (K-12),5/29/20,6/15/20
GU,Personal Care,5/30/20,6/29/20
GU,Houses of Worship,5/30/20,6/29/20
GU,Childcare (K-12),5/30/20,6/29/20
NC,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,5/30/20,
GU,New Phase,5/30/20,6/29/20
WA,training jobs,6/1/20,
KY,Outdoor and Recreation,6/1/20,8/9/20
MO,Food and Drink,6/1/20,6/15/20
ND,Childcare (K-12),6/1/20,
MA,Food and Drink,6/1/20,
KY,Entertainment,6/1/20,8/10/20
MT,Entertainment,6/1/20,
WA,higher education,6/1/20,
MN,Phase 2,6/2/20,6/9/20
WA,libraries,6/2/20,
TX,Houses of Worship,6/3/20,
TX,Phase 3,6/3/20,
FL,Phase 2,6/5/20,9/5/20
FL,Personal Care,6/5/20,
VA,Phase 2,6/5/20,
AK,traveler from out of state,6/5/20,
VA,Personal Care,6/5/20,
ND,Phase 3,6/5/20,8/31/20
CO,Houses of Worship,6/5/20,7/1/20
UT,"Phase 2, 3",6/5/20,6/12/20
VT,Childcare (K-12),6/7/20,9/15/20
OR,Phase 2,6/8/20,9/4/20
VA,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,6/8/20,
KS,Phase 3,6/8/20,6/22/20
OR,Day Care,6/8/20,6/30/20
NY,New Phase,6/8/20,
OR,Houses of Worship,6/8/20,12/2/20
VA,Childcare (K-12),6/9/20,
MN,Phase 3,6/10/20,
HI,Mask Mandate,6/10/20,
MD,Non-Essential Businesses,6/10/20,
MD,Entertainment,6/10/20,
MD,Food and Drink,6/10/20,
PA,Childcare (K-12),6/10/20,
IN,Phase 4,6/12/20,8/27/20
IA,Gyms,6/12/20,6/25/20
ID,Phase 4,6/13/20,8/6/20
NJ,Outdoor and Recreation,6/15/20,
DE,Entertainment,6/15/20,
WY,Gyms,6/15/20,7/31/20
NJ,Food and Drink,6/15/20,
DE,Non-Essential Businesses,6/15/20,
NJ,Entertainment,6/15/20,
NJ,Non-Essential Businesses,6/15/20,
AR,Phase 2,6/15/20,
GA,Shelter in Place,6/16/20,9/30/20
NY,Phase 3,6/16/20,7/5/20
WV,Nursing Home Visitations,6/17/20,
MD,Gyms,6/19/20,
DC,Houses of Worship,6/22/20,
NE,Non-Essential Businesses,6/22/20,12/31/20
DC,Childcare (K-12),6/22/20,11/6/20
DC,Phase 2,6/22/20,10/9/20
KY,Food and Drink,6/22/20,8/10/20
WV,Graduation,6/22/20,
NE,Outdoor and Recreation,6/22/20,12/31/20
WV,Graduation Ceremony guidelines,6/22/20,
RI,Phase 3,6/30/20,8/28/20
NY,Day Care,6/30/20,
NY,Childcare (K-12),6/30/20,
VA,Phase 3,7/1/20,
IN,Phase 5,7/1/20,11/14/20
PA,Phase 2,7/1/20,
CO,Childcare (K-12),7/1/20,
KS,Mask Mandate,7/3/20,
MA,Entertainment,7/6/20,
CO,Phase 3,7/9/20,8/9/20
WA,Phase 3,7/20/20,
UT,Updated Guidelines,7/27/20,8/7/20
NJ,Quarantine,7/28/20,
ME,Childcare (K-12),7/31/20,
MI,Houses of Worship,7/31/20,
WI,Mask Mandate,8/1/20,11/21/20
NE,Phase 4,8/1/20,10/31/20
MA,Travel,8/1/20,
CT,Election,8/10/20,
MA,Gatherings,8/11/20,
VI,Phase 2,8/13/20,
DC,Phase 3,8/16/20,8/31/20
MP,Houses of Worship,9/7/20,
MD,Outdoor and Recreation,9/21/20,
FL,Phase 3,9/25/20,
AL,Non-Essential Businesses,9/30/20,11/8/20
